;;REGISTRO DE SANCIONES SUPERINTENDENCIA DE CASINOS DE JUEGO;;;;
;;;;;;
;;;;;;
Sociedad Operadora;Nombre de casino;Resolución Exenta;Fecha;Monto sanción (UTM);Descripción de sanción;Estado
Casino de Colchagua S.A.;Casino de Colchagua;29;15-01-2009;70 UTM;Sanciona con 70 UTM a la operadora por el funcionamiento del SPA y de las nuevas habitaciones del Hotel Santa Cruz Plaza sin contar con la certificación de la SCJ.;Pagada
Gran Casino de Copiapó S.A. ;Antay Casino & Hotel;36;20-01-2009;70 UTM;Sanciona con 70 UTM a la operadora por la realización de modificaciones a los estatutos sociales, para efectuar un aumento de capital, sin previa autorización de la SCJ.;Pagada
San Francisco Investment S.A.;Monticello Grand Casino;51;02-02-2009;90 (rebajada a 60 UTM);Sanciona con 90 UTM (rebajada a 60 UTM) por la utilización indebida del nombre de la SCJ para fines particulares de la propia sociedad operadora. Resolución Exenta N° 96 rebaja a 60 UTM el monto de la multa.;Pagada
Casino de Juegos de Valdivia S.A.;Dreams Valdivia;81;19-02-2009;3 UTM;Sanciona con 3 UTM por la transferencia de acciones de la sociedad operadora Casino de Juegos de Valdivia S.A. sin autorización previa de la SCJ.;Pagada
Casino de Juegos de Punta Arenas S.A.;Dreams Punta Arenas;81;19-02-2009;3 UTM;Sanciona con 3 UTM por la transferencia de acciones de la sociedad operadora Casino de Juegos de Valdivia S.A. sin autorización previa de la SCJ.;Pagada
Marina del Sol S.A.;Marina del Sol;149;27-03-2009;70 UTM (Rebajada a 45 UTM);Sanciona con 70 UTM (rebajada a 45 UTM) por la realización de actividad de marcha blanca con público, en las instalaciones del casino de juego y sus servicios anexos sin haber obtenido previamente la certificación a que se refiere el artículo 28 de la Ley N°19.995. Resolución Exenta N° 211 rebaja a 45 UTM el monto de la multa.;Pagada
Casino Gran Los Ángeles S.A.;Casino Gran Los Ángeles;258;03-06-2009;90 UTM (rebajada a 70 UTM);Sanciona con 90 UTM (rebajada a 70 UTM) por no haber aplicado correctamente los procedimientos del Circuito Cerrado de Televisión y por existir un deficiente control de las actividades de los funcionarios a cargo del sistema de vigilancia. Resolución Exenta N° 315 rebaja a 70 UTM el monto de la multa. Recurrida judicialmente el 27 de julio de 2009 y notificada a la SCJ el 7 de agosto de 2009.;Pendiente de pago
Casino de Juegos del Pacífico S.A.;Casino de Juegos del Pacífico;546;06-11-2009;200 UTM (Rebajada a 150 UTM);Sanciona con 200 UTM (rebajada a 150 UTM) por desarrollar una modalidad del juego Caribbean Poker no contemplada en el Catálogo de Juegos de la SCJ. Resolución Exenta N° 587 rebaja a 150 UTM el monto de la multa.;Pagada
San Francisco Investment S.A.;Monticello Grand Casino;589;30-11-2009;50 UTM (Rebajada a 35 UTM);Sanciona con 50 UTM (rebajada a 35 UTM) por la utilización de folletos de juego no autorizados por la SCJ, los que además, vulneran normas del Catálogo de Juegos. Resolución Exenta N° 644 rebaja a 35 UTM el monto de la multa.;Pagada
Marina del Sol S.A.;Marina del Sol;609;14-12-2009;100 UTM (Rebajada a 60 UTM);Sanciona con 100 UTM (rebajada a 60 UTM) por la modificación o alteración del desarrollo del juego de dados Craps en perjuicio de los jugadores a través del pago incorrecto de algunas apuestas ganadoras y la aplicación improcedente de la tabla de pagos informada. Resolución Exenta N° 30 rebaja a 60 UTM el monto de la multa. Recurrida judicialmente el 29 de enero de 2010 y notificada a la SCJ el 26 de julio de 2010.;Pendiente de pago
Casino de Juegos Punta Arenas S.A.;Dreams Punta Arenas;643;29-12-2009;10 UTM;Sanciona con 10 UTM por haber disminuido de 200 a 120 las posiciones del bingo, sin haber solicitado la autorización respectiva a la SCJ.;Pagada
Casino de Juegos del Pacífico S.A.;Casino de Juegos del Pacífico;33;18-01-2010;90 UTM y 100 UTM (Rebajada a 70 UTM y 80 UTM);Sanciona con 90 UTM (rebajada a 70 UTM) por implementar modificaciones en máquinas de azar sin informarlo previamente e incumplir instrucciones de almacenamiento y registro de eventos especiales en Sistema de CCTV y con 100 UTM (rebajada a 80 UTM) por modificar el pozo de un premio progresivo en las máquinas de azar al no incorporar el aporte de los jugadores en el componente base.  Resolución Exenta N° 62 rebaja a 70 UTM y a 80 UTM el monto de las multas. ;Pagada
Casino de Juegos Temuco S.A.;Dreams Temuco;275;23-06-2010;10 UTM (Rebajada a 6 UTM);Sanciona con 10 UTM (rebajada a 6 UTM) por haber enviado fuera del plazo establecido en la normativa vigente, los informes de las operaciones de los juegos de azar y de entrada a la sala de juegos correspondientes a los meses de enero, febrero, marzo y abril.;Pagada
Operaciones El Escorial S.A.;Enjoy Antofagasta;399;03-09-2010;80 UTM;Sanciona con 80 UTM por no haber efectuado los controles de acceso que eran necesarios para asegurar que todas las personas que ingresaban a su casino de juego y que no revestían la calidad de personal del mismo, hubiesen efectuado el pago del impuesto establecido en el artículo 58 de la Ley N°19.995. Resolución Exenta N° 448 rechaza reclamación. Recurrida judicialmente el 26 de octubre de 2010 y notificada a la SCJ el 10 de noviembre de 2010.;Pendiente de pago
Marina del Sol S.A.;Marina del Sol;93;02-03-2011;10 UTM;Sanciona con 10 UTM por no haber completado de manera fidedigna, como lo establece la normativa vigente, los informes sobre las operaciones de los juegos de azar y de entrada a la sala de juegos correspondientes al mes de octubre de 2010.;Pagada
Termas de Chillán S.A.;Termas de Chillán;96;02-03-2011;90 UTM;Sanciona con 90 UTM por haber incumplido de manera sostenida y reiterada las instrucciones de esta Autoridad Fiscalizadora, así como por no haber subsanado las inconsistencias y omisiones en la información contenida en los informes sobre las operaciones de los juegos de azar y de entrada a la sala de juegos correspondientes a los meses de julio, agosto y octubre de 2010. Resolución Exenta N° 128 rechaza reclamación. ;Pagada
Operaciones El Escorial S.A.;Enjoy Antofagasta;165;15-04-2011;60;"Sanciona con 60 UTM por haber modificado las condiciones establecidas en su plan de apuestas para el juego de Bingo, sin haber obtenido la aprobación previa de esta Superintendencia, vulnerando además, el Catálogo de Juegos; y por no haber completado de manera fidedigna, los informes sobre las operaciones de los juegos de azar y de entrada a la sala de juegos. ";Pagada
Casino de Juegos Punta Arenas S.A.;Dreams Punta Arenas;189;03-05-2011;50;Sanciona con 50 UTM por haber impuesto a un jugador una prohibición de acceso y permanencia en el casino de juego, que no está contemplada en la normativa vigente. Resolución Exenta N° 224 rechaza reclamación.;Pagada
Casino de Juegos de Valdivia S.A.;Dreams Valdivia;579;17-11-2011;60 UTM (Rebajada a 50 UTM);Sanciona con 60 UTM (rebajada a 50 UTM, a través de Resolución Exenta N° 267) por no haber implementado debidamente los procedimientos de registro y control de los juegos, por haber incumplido de manera sostenida y reiterada en el tiempo las instrucciones de esta Autoridad Fiscalizadora y por no haber completado de manera fidedigna y oportuna los informes operacionales de los meses de enero a junio de 2011. Resolución Exenta N° 267 rebaja a 50 UTM el monto de la multa. Recurrida judicialmente el 8 de mayo de 2012 y notificada a la SCJ el 31 de agosto de 2012.;Pendiente de pago
Casino de Juegos de Valdivia S.A.;Dreams Valdivia;581;18-11-2011;120 UTM (Rebajada a 60 UTM);Sanciona con 120 UTM (rebajada a 60 UTM, a través de Resolución Exenta N°274) por no haber acreditado que efectuó los controles de acceso necesarios para asegurar que todas las personas que ingresaban a su casino de juego, desde un servicio anexo, hubiesen efectuado el pago del impuesto por entrada, establecido en el artículo 58 de la Ley N°19.995.  Resolución Exenta N° 274 rebaja a 60 UTM el monto de la multa. Recurrida judicialmente el 7 de mayo de 2012 y notificada a la SCJ el 30 de agosto de 2012.;Pendiente de pago
Casino de Juegos de Temuco S.A.;Dreams Temuco;603;25-11-2011;42  UTM;Sanciona con 42 UTM por no haber implementado debidamente los procedimientos de registro y control de los juegos y por no haber completado de manera fidedigna los informes operacionales de los meses de enero a junio de 2011. Resolución Exenta N° 257 rechaza reclamación.;Pagada
Termas de Chillán S.A.;Termas de Chillán;277;26-04-2012;100 UTM;Sanciona con 100 UTM al gerente general de esa sociedad operadora por no haber remitido los documentos solicitados reiteradamente por esta Superintendencia, conducta que impidió a esta Autoridad el ejercicio de sus labores de fiscalización de modo tal que fuese posible determinar si la sociedad operadora llevaba a cabo las actividades necesarias para la efectiva fiscalización del Servicio de Impuestos Internos en el ámbito tributario. Resolución Exenta N° 257 rechaza reclamación.;Pagada
Marina del Sol S.A.;Marina del Sol;279;26-04-2012;120 UTM;Sanciona con 120 UTM por haber empleado en el juego Punto y Banca, en la modalidad Midi Punto y Banca, 8 barajas en circunstancias que la normativa vigente establece que deben usarse 6 barajas, lo que implicó que esa sociedad operadora alterara o modificara el desarrollo del referido juego, produciendo una modificación en las probabilidades del resultado del mismo. Resolución Exenta N° 279 rechaza reclamación. Recurrida judicialmente el 8 de junio de 2012 y notificada a la SCJ el 3 de agosto de 2012.;Pendiente de pago
Casino Rinconada S.A.;Casino Rinconada;280;26-04-2012;90 UTM;Sanciona con 90 UTM por no haber completado de manera fidedigna y ajustada a la legalidad vigente, en forma reiterada y constante en el tiempo, los informes operacionales correspondientes a los meses de enero a julio de 2011, ambas fechas inclusive. Resolución Exenta N° 558 rechaza reclamación.;Pagada
Termas de Chillán S.A.;Termas de Chillán;311;15-05-2012;90 UTM;Sanciona con 90 UTM por no haber puesto en funcionamiento su casino de juego durante el día 9 de diciembre de 2011, al no realizar la apertura de sus mesas de juego entre las 20:00 y las 5:00 hrs y el bingo, entre las 20:00 y 2:00 hrs, por cuanto no llevó a cabo cuatro de las cinco categorías que necesariamente deben desarrollarse en dichos establecimientos, estando a disposición del público solamente las máquinas de azar. ;Pendiente de pago
Casino Rinconada S.A.;Casino Rinconada;676;10-12-2012;90 UTM;Sanciona con 90 UTM por no haber obtenido la autorización previa de esta Superintendencia para modificar el establecimiento en el que funciona su casino de juego y por haber explotado al interior del referido inmueble, un servicio que no se encuentra permitido en la normativa vigente, como lo es el servicio de recreación infantil y/o cuidado de menores de edad, denominado “Play & Kids”.;Pagada
